Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-47951776.133526,-55860135.4655666,-192022479.468454,-51036283.6112608,-65684511.343893,-47774027.0095906,-42994416.2107173,-166983554.911685,-79585268.7492387,-40273161.0002353,-80631404.0721353,2916492.92940283,24258330.1122418,..,..,..
Afghanistan,AFG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,1.30694988186642,1.27849324104935,3.577104200584,4.36867313365341,3.41377294845747,1.93570173037069,0.455360448830553,0.451889148679072,1.2031179943218,0.293025176967476,0.285440891713646,0.239801182991603,0.20966479421559,0.884000458750617,0.516606084407531,0.274796791444519,0.661572216047427,0.124495985791329,0.0649939571525687,0.144401057885726,..,..
Afghanistan,AFG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,10,-280000,360000,-20000,20000,-93326.6,690000,-1460000,-10000,6040000,170000,680000,50000000,57799999.9,186900000,271000000,238000000,188690000,46033740,56107246.5,190774431.98,52173421,56823660,48311346,42975262.5,169146608,93591315.3,51533896.765,119435105.715177,23404553.647249,12970147.9832,20600976.1,..,..
Afghanistan,AFG,Control of Corruption: Estimate,CC.EST,..,..,..,..,..,..,-1.29170477390289,..,-1.17601227760315,..,-1.27172422409058,..,-1.25113701820374,-1.34417974948883,-1.35064733028412,-1.44725239276886,-1.44629228115082,-1.61325109004974,-1.67209553718567,-1.55229878425598,-1.64539110660553,-1.60047078132629,-1.43037283420563,-1.44590842723846,-1.36474287509918,-1.35423982143402,-1.54035270214081,-1.53190970420837,-1.50288057327271,-1.41949915885925,-1.49369978904724,-1.15232741832733,-1.18377649784088,..
Afghanistan,AFG,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84.292,..,..,64.677,..,..,57.754,63.643,..,..
Afghanistan,AFG,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,..,46.988,46.973,46.937,46.888,46.845,46.783,46.738,46.716,46.713,46.718,46.754,46.812,46.881,46.956,47.039,46.983,46.935,46.896,46.867,46.843,46.891,46.96,47.03,47.1,47.17,47.24,47.31,45.565,43.821,41.58,41.243,37.64,36.95
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,0,0,0,0,0,..,..,..,..,..,0.004722568,0.004561395,0.087891253,0.10580903,1.224148084,2.107123645,1.9,1.84,3.55,4,5,5.454545455,5.9,7,8.26,11,13.5,16.8,17.6,18.4,..,..,..
Afghanistan,AFG,Government Effectiveness: Estimate,GE.EST,..,..,..,..,..,..,-2.17516660690308,..,-2.10229182243347,..,-2.17394614219666,..,-1.58768701553345,-1.17576801776886,-0.945146262645721,-1.2288156747818,-1.47365152835846,-1.44011056423187,-1.52779507637024,-1.50775218009949,-1.47831559181213,-1.47410047054291,-1.37553513050079,-1.39949083328247,-1.35930466651917,-1.39618384838104,-1.29025280475616,-1.38897216320038,-1.50134539604187,-1.51861417293549,-1.60950922966003,-1.66956210136414,-1.87955236434937,..
Afghanistan,AFG,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-238376258.640059,277627586.221436,-577708206.772323,-2246921171.24519,-5150161881.41159,-5095040596.60647,-3232893168.37268,-4192816422.8282,-2708462935.14897,-3554897942.49064,-3896837603.93392,-3791935256.04003,-3136733353.20761,..,..,..
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,..,..,..,..,..,..,-2.41730952262878,..,-2.42735457420349,..,-2.43896889686584,..,-2.03503370285034,-2.19837236404419,-2.29568219184875,-2.06750988960266,-2.21913456916809,-2.4133734703064,-2.69136095046997,-2.71142148971558,-2.57915186882019,-2.50205969810486,-2.41856145858765,-2.51934909820557,-2.41106843948364,-2.56262516975403,-2.6621561050415,-2.79497361183167,-2.75326204299927,-2.65240693092346,-2.70263171195984,-2.51853036880493,-2.5508017539978,..
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,182.174036617438,199.643227895834,221.830530720307,254.115274305561,274.015394322653,376.318296441543,382.533803815415,453.387382075258,562.499219444201,608.738855868402,653.417479124439,638.733184780223,626.512930450573,566.881132665072,523.053012101752,526.140801271383,492.090632280226,497.741429257502,512.055098228687,355.777826392648,..,..
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,8.8322778126357,1.41411798058977,11.2297148236429,5.35740325126363,13.8263195479762,3.92498382161577,21.3905283931067,14.3624414692682,0.426354784529352,12.7522870887165,5.60074465808174,2.72454336394887,1.45131466009762,2.26031420130457,2.6470032019574,1.18922812838036,3.91160341942292,-2.3511006734461,-20.7388393676343,..,..
Afghanistan,AFG,Rule of Law: Estimate,RL.EST,..,..,..,..,..,..,-1.78807544708252,..,-1.73488676548004,..,-1.78066074848175,..,-1.67347323894501,-1.5582937002182,-1.6939252614975,-1.66296553611755,-1.87900483608246,-1.85256004333496,-1.90330755710602,-1.87611877918243,-1.87005805969238,-1.9225001335144,-1.6518931388855,-1.60911154747009,-1.43704450130463,-1.51520264148712,-1.52071392536163,-1.58373689651489,-1.68858671188354,-1.74131882190704,-1.83137428760529,-1.87635684013367,-1.65844225883484,..
Afghanistan,AFG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,11.655238211175,11.271432071264,10.9127735539374,7.1997512890801,22.52775619979,2.09628874882866,-2.1634044278301,3.8146303170911,16.5933467311627,7.30175647136646,4.82278547931627,0.566944540816209,2.44756300204629,-2.19752646590605,2.40365618844326,2.07134857890898,6.52147984507833,6.96294625680247,2.83899625081041,..,..
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,7.942,7.94,7.945,7.947,7.942,7.934,7.932,7.939,7.942,7.942,7.942,7.935,7.929,7.926,7.925,7.925,7.924,7.928,7.923,7.921,7.918,7.914,7.914,7.91,9.002,10.092,11.18,11.131,11.082,11.71,12.075,14.1,15.378
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.495,..,..,..,1.692,..,7.915,..,..,11.184,..,..,11.71,5.58,..,..
Afghanistan,AFG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,39.276429270146,39.276429270146,39.276429270146,39.276429270146,38.818463,36.5671446236559,47.5,47.5,47.5,46.6195310771889,47.3575747311828,47.500014516129,47.263,48.7627535833333,47.8453125,49.4945975,49.9253308333333,49.9620177703972,50.2496147435897,50.325,46.4524610013175,46.747007738581,50.9214,55.3775,57.2475,61.1434615416667,67.8660857692308,68.0269040822312,72.083247177304,77.7379491783367,76.8135364354897,..,..,..
Afghanistan,AFG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,0,0,0,0,0,0,0,0,0,0,0,0.119046168,0.883192104,2.547386592,4.915778177,9.905952707,18.02123984,29.88931593,38.34172829,36.23965543,47.17359546,50.35079702,53.28634042,56.26314295,58.39109599,62.37109623,67.13641492,59.90264778,59.78387904,58.1902139,56.55443457,..,..
Afghanistan,AFG,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-2.35799046796731,2.23601943444918,-3.64331389600481,-12.6195380946189,-25.8706813306245,-25.2900584151904,-15.7724197930808,-21.912657221227,-14.9501951885726,-18.9559612183763,-21.5852740597014,-20.1704644691265,-15.7183027843226,..,..,..
Albania,ALB,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..,..,-20000000,-58000000,-53000000,-70000000,-90100000,-47500000,-45010000,-41200000,-143000000,-207300000,-135000000,-178036400.666667,-327681210.171408,-258417488.710474,-314638316.803697,-647365283.80649,-881244175.083487,-950761387.622076,-1043511678.05772,-846616681.619178,-834803023.050091,-1225674342.47578,-1074294190.46155,-910256725.971613,-1037328978.03745,-1128922245.43328,-1208920405.82958,-1161056359.18126,-1019647592.46953,-1168644882.54546,-1249848499.5736,..
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,..,..,3.06666159864896,4.89321210624299,2.81772379080922,2.92548596657615,2.8159410758197,2.1031528051092,1.76789579262462,1.28264133419298,4.10877595525929,5.28543275433979,3.10482707446756,3.17270817814522,4.75017450889019,3.25976769159645,3.65485134325294,6.10897966213633,9.6820708554375,11.1706432450789,9.13813124439238,8.13533613546751,7.45135495532692,9.81628458243044,8.69303872198522,8.69053394301893,8.80509197849022,7.85544826704409,7.9463556997158,7.79792048386519,7.05509220945392,6.79614080368671,7.61975588479581,..
Albania,ALB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,20000000,58000000,53000000,70000000,90100000,47500000,45010000,41200000,143000000,207300000,135000000,178036400.666667,341285112.537562,262479012.637464,325138316.803697,652275603.722803,1247181714.30558,1345415233.65619,1089898207.57431,1048706682.05458,917994575.801857,1254150555.51294,1149927985.77736,989578334.828615,1044389554.85795,1022757857.07377,1204383363.60476,1201022154.46643,1069744879.65453,1218586452.37158,1441381891.41694,..
Albania,ALB,Control of Corruption: Estimate,CC.EST,..,..,..,..,..,..,-0.893903493881226,..,-0.992024779319763,..,-0.855563640594482,..,-0.8453409075737,-0.853786587715149,-0.723731815814972,-0.813263893127441,-0.790545284748077,-0.706940054893494,-0.605212390422821,-0.545270919799805,-0.531616508960724,-0.701794147491455,-0.778729438781738,-0.750955939292908,-0.586141347885132,-0.544385254383087,-0.471469223499298,-0.480890601873398,-0.545840263366699,-0.563899636268616,-0.572924494743347,-0.576535522937775,-0.407875537872314,..
Albania,ALB,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,70.604,..,..,65.015,..,79.188,78.904,81.301,77.97,74.517,73.07,73.428,74.381,73.271,74.125,73.225,72.099,75.465,..,..,..,..
Albania,ALB,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,..,64.184,64.749,63.95,63.272,62.287,61.624,62.404,61.753,60.891,60.423,59.884,59.61,58.557,57.495,56.427,55.353,54.273,53.19,54.99,55.2,59.94,56.99,52.42,53.42,55.5,57.31,58.06,59.3,60.31,57.362,58.73,60.319,60.176
Albania,ALB,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,0,0,0,0,0.011168695,0.032196828,0.048593919,0.06502737,0.081437045,0.114097347,0.325798377,0.390081273,0.971900415,2.420387798,6.043890864,9.609991316,15.03611541,23.86,41.2,45,47,49.4,51.8,54.3,56.9,59.6,62.4,65.4,68.55039112,72.23767711,79.32371752,82.61368583,..
Albania,ALB,Government Effectiveness: Estimate,GE.EST,..,..,..,..,..,..,-0.68858790397644,..,-0.732602536678314,..,-0.917780160903931,..,-0.624333381652832,-0.563986718654633,-0.408371657133102,-0.696387231349945,-0.580952644348145,-0.427722543478012,-0.367063492536545,-0.255941480398178,-0.279453217983246,-0.202177077531815,-0.26892501115799,-0.323875933885574,-0.0489184409379959,0.0282399524003267,0.0298212617635727,0.0987358614802361,0.0806501731276512,-0.0621441006660461,-0.154880329966545,-0.0353600680828094,0.0650628432631493,..
Albania,ALB,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-118300000,-168000000,-50700000,14900000,-157300000,-11500000,-107300000,-272232500,-65070000,-155400000,-156300000,-217400000,-407520000,-406814698.259077,-357925427.326321,-571475353.650417,-670904254.719467,-1150813004.28052,-2013166061.36355,-1852457561.90292,-1355598479.39826,-1667175109.43641,-1256644799.54906,-1184891052.23519,-1425385680.43297,-979825099.400474,-900363040.501945,-982237928.301343,-1016226360.01795,-1218856026.94155,-1314583005.68534,-1369694859.41271,-1116775476.01529,..
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,..,..,..,..,..,..,-0.336625128984451,..,-0.544004201889038,..,-0.539989590644836,..,-0.297719180583954,-0.309780240058899,-0.427259683609009,-0.505047976970673,-0.508157312870026,-0.203974649310112,-0.0305009130388498,-0.0451405122876167,-0.191482901573181,-0.282379418611526,-0.143631592392921,0.0919297859072685,0.485986232757568,0.341639041900635,0.337447881698608,0.373769819736481,0.366642981767654,0.110049679875374,0.0885764509439468,0.196294024586678,0.114945493638515,..
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,617.230435515505,336.586994504629,200.852219772323,367.279225077581,586.416135130865,750.604449178826,1009.97711053398,717.380047745673,813.789396580449,1033.24253162418,1126.68334010717,1281.6598256178,1425.12421860142,1846.12012081207,2373.58129170055,2673.78781583529,2972.74362094736,3595.03829536404,4370.53971639449,4114.13403283023,4094.34968570481,4437.14116097061,4247.63134315945,4413.06338346821,4578.63320812155,3952.80357364813,4124.05538986272,4531.03220675893,5287.66080067575,5396.2142432843,5343.0377039956,6377.20309553753,6810.11404104233,..
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-9.57564016993415,-28.0021416559099,-7.18711091500037,9.5594116849315,8.30286659699671,13.322333321684,9.09999943646361,-10.9199840781391,8.82942375839806,12.8908036407763,6.94621659244254,8.29331263121023,4.53652416035675,5.52863746491788,5.51466791097914,5.52642424695465,5.90265903591924,5.98325951855567,7.50004143020151,3.35428934987461,3.70693815255319,2.54540614450104,1.4172427999078,1.00201754071108,1.77444885260394,2.21872637517804,3.31498068384137,3.80259872019053,4.01934561695576,2.08771199649604,-3.30208203862541,8.90852781831182,4.85640165227306,..
Albania,ALB,Rule of Law: Estimate,RL.EST,..,..,..,..,..,..,-0.684481799602509,..,-0.929671704769135,..,-1.02066767215729,..,-0.762321412563324,-0.716323494911194,-0.701032340526581,-0.763833165168762,-0.703135848045349,-0.661545991897583,-0.600079298019409,-0.49437016248703,-0.385760486125946,-0.442926466464996,-0.519839763641357,-0.518606007099152,-0.310979843139648,-0.318997442722321,-0.321364849805832,-0.412762373685837,-0.414187848567963,-0.425378829240799,-0.376249194145203,-0.280372351408005,-0.16577909886837,..
Albania,ALB,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,-0.431368812605911,35.5142469575829,232.984658866956,125.650814219817,35.8424752083078,9.9706626786687,38.1720581994814,11.2396444802125,6.73085990507577,2.10284998886902,5.6474714679938,3.81085737408868,3.6474762708812,5.19863530307683,3.15236892537025,3.30681814689954,2.47818888688769,4.3867093833438,4.11708542559394,2.41833605890835,4.49314320031891,2.31474379699794,1.04271460643407,0.288745964127756,1.54991706986272,0.563991350160876,-0.632653419095547,1.45073158124514,1.47295348748196,1.25702482876329,0.696542442312051,3.45443198973012,9.86601343108215,..
